UP,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos ou mais,Total por cidade
Abreu e Lima,5163,3991,3116,2162,1615,1014,1207,18268
Afogados da Ingazeira,1644,1391,1329,987,827,537,765,7480
Afrânio,674,591,628,440,344,224,308,3209
Agrestina,881,811,807,724,618,377,491,4709
Água Preta,1277,1071,943,741,507,315,335,5189
Águas Belas,1524,1462,1369,1090,871,575,803,7694
Alagoinha,652,518,470,456,372,276,313,3057
Aliança,1726,1495,1239,1016,743,444,482,7145
Altinho,1096,931,844,783,699,502,639,5494
Amaraji,981,729,648,485,400,230,275,3748
Angelim,442,369,391,333,275,202,241,2253
Araçoiaba,700,592,462,372,272,162,204,2764
Araripina,2866,2338,2234,1913,1436,810,1138,12735
Arcoverde,3021,2556,2245,1894,1471,997,1276,13460
Barra de Guabiraba,529,414,326,286,251,160,221,2187
Barreiros,1655,1364,1072,996,753,462,494,6796
Belém de Maria,460,376,356,313,263,157,205,2130
Belém do São Francisco,775,640,558,460,364,231,365,3393
Belo Jardim,3159,2628,2419,2029,1658,1139,1527,14559
Betânia,469,481,454,371,287,174,233,2469
Bezerros,2695,2478,2388,1902,1681,1156,1442,13742
Bodocó,1352,1215,1090,814,643,428,565,6107
Bom Conselho,1776,1728,1624,1368,1030,668,907,9101
Bom Jardim,1672,1595,1401,1136,975,679,877,8335
Bonito,1601,1423,1203,981,858,593,739,7398
Brejão,341,343,296,235,216,131,170,1732
Brejinho,288,258,273,231,195,123,132,1500
Brejo da Madre de Deus,1566,1504,1309,1081,843,578,793,7674
Buenos Aires,598,505,444,342,252,144,180,2465
Buíque,1858,1706,1531,1349,1029,644,861,8978
Cabo de Santo Agostinho,8611,6857,5255,3730,2843,1540,1841,30677
Cabrobó,1200,908,786,650,504,381,463,4892
Cachoeirinha,774,682,614,588,540,360,474,4032
Caetés,950,966,841,753,623,353,518,5004
Calçado,450,410,383,287,315,163,201,2209
Calumbi,226,232,201,188,143,89,117,1196
Camaragibe,7357,5835,4781,3358,2642,1495,1713,27181
Camocim de São Félix,728,684,570,495,452,311,364,3604
Camutanga,325,322,261,238,206,135,184,1671
Canhotinho,1061,890,856,734,577,414,502,5034
Capoeiras,792,757,658,582,447,305,380,3921
Carnaíba,783,771,640,545,481,265,395,3880
Carnaubeira da Penha,348,374,346,218,205,131,192,1814
Carpina,3737,3103,2387,1820,1364,958,1122,14491
Caruaru,13838,11021,9638,7350,6050,3765,4833,56495
Casinhas,585,494,459,341,336,248,353,2816
Catende,1679,1338,1143,906,759,493,547,6865
Cedro,394,337,332,277,206,128,183,1857
Chã de Alegria,497,487,421,284,227,145,170,2231
Chã Grande,900,771,718,510,468,271,333,3971
Condado,1106,907,794,646,520,328,398,4699
Correntes,772,719,584,457,362,309,367,3570
Cortês,509,397,332,235,189,115,134,1911
Cumaru,817,742,647,555,491,293,437,3982
Cupira,995,959,892,697,591,389,566,5089
Custódia,1526,1339,1175,988,778,554,782,7142
Dormentes,710,583,566,397,300,218,298,3072
Escada,2807,2150,1717,1518,1128,666,804,10790
Exu,1309,1024,1037,841,694,500,623,6028
Feira Nova,897,877,720,555,460,353,410,4272
Fernando de Noronha,146,82,39,15,16,15,12,325
Ferreiros,496,489,427,337,274,193,213,2429
Flores,1007,905,842,770,593,457,593,5167
Floresta,1032,893,855,659,518,355,507,4819
Frei Miguelinho,654,635,657,542,489,322,516,3815
Gameleira,1015,858,728,660,453,247,247,4208
Garanhuns,5793,4986,4266,3244,2614,1751,2107,24761
Glória do Goitá,1207,1094,1003,771,608,412,544,5639
Goiana,3547,2821,2290,1787,1374,916,1133,13868
Granito,271,202,219,198,157,107,130,1284
Gravatá,3521,2973,2582,2084,1764,1184,1462,15570
Iati,707,664,603,498,372,246,326,3416
Ibimirim,1033,951,865,609,437,331,436,4662
Ibirajuba,327,267,323,246,248,157,224,1792
Igarassu,4848,3780,2855,2234,1620,1045,1204,17586
Iguaraci,583,520,476,369,292,215,317,2772
Ilha de Itamaracá,1005,779,593,417,301,173,206,3474
Inajá,659,490,504,333,248,171,226,2631
Ingazeira,226,187,181,134,117,72,84,1001
Ipojuca,3095,2261,1865,1237,1024,602,668,10752
Ipubi,939,817,758,619,569,363,414,4479
Itacuruba,163,134,126,83,90,44,54,694
Itaíba,1028,1040,901,697,509,378,483,5036
Itambé,1469,1297,1091,885,781,431,591,6545
Itapetim,674,683,608,481,436,259,420,3561
Itapissuma,1021,778,661,476,367,208,268,3779
Itaquitinga,649,564,460,370,279,180,183,2685
Jaboatão dos Guararapes,34351,26366,20167,14246,10369,6347,7127,118973
Jaqueira,410,350,312,269,186,117,136,1780
Jataúba,668,566,528,495,362,220,373,3212
Jatobá,643,587,460,355,260,171,216,2692
João Alfredo,1308,1256,1175,889,838,583,743,6792
Joaquim Nabuco,585,472,454,313,276,143,179,2422
