,UP,Total por cidade,Até 1/4 de salário mínimo,Mais de 1/4 a 1/2 salário mínimo,Mais de 1/2 a 1 salário mínimo,Mais de 1 a 2 salários mínimos,Mais de 2 a 3 salários mínimos,Mais de 3 a 5 salários mínimos,Mais de 5 salários mínimos,Sem rendimento claro,Sem renda clara
93,Jupi,4104,307,873,1427,880,261,194,158,1,3
94,Jurema,2730,204,580,949,585,173,129,105,1,4
95,Lagoa de Itaenga,4806,359,1022,1671,1031,305,227,185,1,5
96,Lagoa do Carro,6132,459,1304,2132,1315,390,290,236,2,4
97,Lagoa do Ouro,3235,242,688,1125,694,205,153,124,1,3
98,Lagoa dos Gatos,2943,220,626,1023,631,187,139,113,1,3
99,Lagoa Grande,7031,526,1495,2445,1508,447,333,271,2,4
100,Lajedo,9647,722,2052,3355,2069,613,457,372,3,4
101,Limoeiro,18075,1353,3845,6286,3878,1149,857,697,7,3
102,Macaparana,5478,410,1165,1905,1175,348,259,211,2,3
103,Machados,2149,160,457,747,461,136,101,82,0,5
104,Manari,5965,446,1268,2074,1279,379,282,230,2,5
105,Maraial,1802,134,383,626,386,114,85,69,0,5
106,Mirandiba,3094,231,658,1076,663,196,146,119,1,4
107,Moreilândia,3160,236,672,1099,677,201,149,121,1,4
108,Moreno,17232,1290,3665,5993,3697,1096,817,664,6,4
109,Nazaré da Mata,9603,719,2042,3340,2060,610,455,370,3,4
110,Olinda,104388,7816,22206,36307,22396,6641,4951,4025,42,4
111,Orobó,5236,392,1113,1821,1123,333,248,201,2,3
112,Orocó,4147,310,882,1442,889,263,196,159,1,5
113,Ouricuri,19099,1430,4063,6642,4097,1215,905,736,7,4
114,Palmares,14808,1108,3150,5150,3177,942,702,571,6,2
115,Palmeirina,1438,107,305,500,308,91,68,55,0,4
116,Panelas,4422,331,940,1538,948,281,209,170,1,4
117,Paranatama,4115,308,875,1431,882,261,195,158,1,4
118,Parnamirim,5233,391,1113,1820,1122,332,248,201,2,4
119,Passira,8060,603,1714,2803,1729,512,382,310,3,4
120,Paudalho,21645,1620,4604,7528,4643,1377,1026,834,8,5
121,Paulista,131027,9810,27873,45573,28111,8336,6214,5053,53,4
122,Pedra,7024,525,1494,2443,1507,446,333,270,2,4
123,Pesqueira,16136,1208,3432,5612,3461,1026,765,622,6,4
124,Petrolândia,9959,745,2118,3463,2136,633,472,384,4,4
125,Petrolina,154769,11588,32924,53831,33205,9846,7340,5968,62,5
126,Poção,2478,185,527,861,531,157,117,95,1,4
127,Pombos,9250,692,1967,3217,1984,588,438,356,3,5
