UP,Coeficiente de aumento,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos ou mais,Total por cidade
Palmares,7.4693129284234026,2774,2532,2229,1861,1395,1055,1479,14808
Palmeirina,5.119731800766283,241,213,188,158,144,105,193,1438
Panelas,4.948288159771755,689,578,570,510,411,420,621,4422
Paranatama,8.74328834711943,661,626,560,465,385,319,548,4115
Parnamirim,7.271071800208117,867,788,730,602,450,418,688,5233
Passira,7.137377390541947,1369,1216,1222,1015,728,587,959,8060
Paudalho,11.134142433709846,4384,3950,3164,2587,2052,1469,2018,21645
Paulista,9.778906047235921,24944,22722,19939,17374,13763,9990,11146,131027
Pedra,8.62700991418812,1227,1050,1028,808,620,521,884,7024
Pesqueira,6.7459717073908765,2671,2461,2372,1965,1545,1184,1967,16136
Petrolândia,9.335254372019078,1990,1587,1497,1196,899,688,1049,9959
Petrolina,14.158641975308642,35412,28754,23394,17664,12506,9450,13793,154769
Poção,6.076020912816165,398,356,378,320,232,205,293,2478
Pombos,9.14954693228194,1699,1510,1384,1116,907,638,996,9250
Primavera,9.213937175968281,913,698,655,529,384,304,377,4241
Quipapá,3.8454249109241148,401,375,350,309,215,186,315,2471
Quixaba,6.788766788766789,298,246,224,199,175,137,200,1681
Recife,7.0960850595112985,74814,71643,66401,58128,45018,33812,50133,450086
Riacho das Almas,7.649491094147582,1138,892,832,713,525,516,765,6150
Ribeirão,5.486066794299085,1260,1253,1114,886,670,495,723,7128
Rio Formoso,7.601880877742946,978,875,782,567,400,293,369,4637
Sairé,7.753453218660412,650,604,479,455,323,291,511,3828
Salgadinho,2.495291902071563,101,81,73,69,60,49,97,631
Salgueiro,9.484857838597936,3809,3360,2863,2199,1738,1368,2185,19710
Saloá,5.35574476414171,492,426,380,315,287,241,426,2996
Sanharó,5.448179271708683,641,562,552,460,341,286,453,3752
Santa Cruz,8.397683397683398,707,680,608,450,354,375,595,4366
Santa Cruz da Baixa Verde,5.9855834007006194,421,373,366,293,242,201,322,2544
Santa Cruz do Capibaribe,10.680248316866312,6679,5253,4135,3065,2189,1674,2436,27870
Santa Filomena,6.937555640340837,559,453,411,382,308,266,475,3332
Santa Maria da Boa Vista,9.363916506773649,2307,1905,1658,1298,978,796,1227,11400
Santa Maria do Cambucá,7.066787003610108,669,544,481,383,327,279,466,3617
Santa Terezinha,6.559386973180076,434,335,372,318,234,216,318,2549
São Benedito do Sul,5.988655850151695,482,389,355,306,270,211,292,2600
São Bento do Una,5.429193685727387,1582,1371,1276,1088,893,718,1097,9125
São Caitano,8.251500272776868,2033,1746,1589,1248,960,794,1332,11037
São João,7.661163522012579,1185,999,832,660,569,471,757,6234
São Joaquim do Monte,6.268605449965651,798,715,680,587,441,342,614,4796
São José da Coroa Grande,8.83571752951862,1017,876,878,707,522,377,482,5344
São José do Belmonte,7.951001106751182,1734,1493,1425,1158,993,787,1351,10294
São José do Egito,6.4240790655885,1302,1212,1150,940,781,682,1185,8441
São Lourenço da Mata,9.289166621580192,7597,6506,5521,4662,3404,2458,3078,36307
Serra Talhada,9.617610398860398,5847,5026,4393,3421,2752,2194,3695,31026
Serrita,8.148093262201145,920,785,721,607,509,387,752,5437
Sertânia,6.863769327204346,1422,1291,1314,1098,907,701,1124,8986
Sirinhaém,8.399614364907206,2129,1704,1392,1105,836,598,782,9330
Solidão,6.030701754385965,183,176,177,119,112,110,151,1185
Surubim,7.761176093574747,3361,2784,2555,2063,1735,1536,2336,18709
Tabira,7.080840079784114,1205,1051,1027,807,747,597,1002,7441
Tacaimbó,7.426922594404718,651,539,533,439,340,290,467,3732
Tacaratu,7.717418083271742,997,888,863,697,571,500,757,6033
Tamandaré,10.374314294933848,1464,1257,1123,919,672,522,628,7217
Taquaritinga do Norte,7.169540229885057,1149,986,865,703,572,453,728,6188
Terezinha,5.985169491525423,242,205,208,162,149,122,182,1456
Terra Nova,8.628097521982413,559,456,364,359,251,203,366,2929
Timbaúba,5.558812917192856,1694,1588,1449,1280,1026,806,1213,10273
Toritama,11.291085362969971,2799,2062,1719,1260,870,642,945,11244
Tracunhaém,8.692967160709095,793,735,613,482,372,300,387,4074
Trindade,9.924560969577048,1642,1454,1244,990,746,654,1029,8791
Triunfo,6.82195189383467,668,653,613,491,416,342,650,4487
Tupanatinga,7.888206097849207,1206,984,848,744,653,492,783,6496
Tuparetama,6.1158262606090865,316,310,300,218,179,178,309,2124
Venturosa,8.409486510008703,935,788,768,623,461,372,613,5176
Verdejante,6.651057925771766,373,309,316,276,236,160,313,2298
Vertente do Lério,5.939277196844615,283,254,228,216,183,155,263,1848
Vertentes,8.229220891896581,1104,971,863,693,546,476,813,6283
Vicência,7.398267526188557,1244,1224,1096,906,628,508,662,6932
Vitória de Santo Antão,8.17644629200309,7733,6961,6039,4829,3754,2906,4150,40526
Xexéu,6.457319770013268,501,479,397,331,230,174,238,2591
